Text
"Apple iPhone 15 (Black, 128 GB)"
"Apple iPhone 15 (Blue, 128 GB)"
"Apple iPhone 14 Plus (Blue, 128 GB)"
"Apple iPhone 15 (Green, 128 GB)"
"Apple iPhone 15 (Pink, 128 GB)"
"Apple iPhone 14 Plus (Midnight, 128 GB)"
"Apple iPhone 14 Plus (Starlight, 128 GB)"
"Apple iPhone 15 Plus (Blue, 128 GB)"
"Apple iPhone 15 Plus (Black, 128 GB)"
"Apple iPhone 15 (Yellow, 128 GB)"
"Apple iPhone 15 Plus (Pink, 128 GB)"
"Apple iPhone 15 Plus (Green, 128 GB)"
"Apple iPhone 15 Plus (Yellow, 128 GB)"
"Apple iPhone 12 (Blue, 64 GB)"
"Apple iPhone 12 (Black, 64 GB)"
"Apple iPhone 12 (Blue, 128 GB)"
"Apple iPhone 15 (Pink, 256 GB)"
"Apple iPhone 15 (Blue, 256 GB)"
"Apple iPhone 15 (Black, 256 GB)"
"Apple iPhone 13 (Pink, 128 GB)"
"Apple iPhone 15 (Green, 256 GB)"
"Apple iPhone 13 (Starlight, 128 GB)"
"Apple iPhone 13 (Green, 128 GB)"
"Apple iPhone 14 (Blue, 128 GB)"
